WB_Code,Avg_Temperature_C,Sunshine_Days_Per_Year,Avg_Snowfall_Cm_Per_Year,Notes
AFG,,,,
ARE,,,,
ARG,,,,
ARM,,,,
AUS,,,,
AUT,,,,
AZE,,,,
BEL,,,,
BGR,,,,
BHR,,,,
BLR,,,,
BRA,,,,
BRB,,,,
BWA,,,,
CAN,,,,
CHE,,,,
CHL,,,,
CHN,,,,
CIV,,,,
CMR,,,,
COL,,,,
CRI,,,,
CUB,,,,
CYP,,,,
CZE,,,,
DEU,,,,
DJI,,,,
DNK,,,,
DOM,,,,
DZA,,,,
ECU,,,,
EGY,,,,
ERI,,,,
ESP,,,,
EST,,,,
ETH,,,,
FIN,,,,
FJI,,,,
FRA,,,,
GAB,,,,
GBR,,,,
GEO,,,,
GHA,,,,
GRC,,,,
GTM,,,,
GUY,,,,
HRV,,,,
HTI,,,,
HUN,,,,
IDN,,,,
IND,,,,
IRL,,,,
IRN,,,,
IRQ,,,,
ISL,,,,
ISR,,,,
ITA,,,,
JAM,,,,
JOR,,,,
JPN,,,,
KAZ,,,,
KEN,,,,
KGZ,,,,
KOR,,,,
KWT,,,,
LIE,,,,
LKA,,,,
LTU,,,,
LUX,,,,
LVA,,,,
MAR,,,,
MCO,,,,
MDA,,,,
MEX,,,,
MKD,,,,
MNE,,,,
MNG,,,,
MOZ,,,,
MUS,,,,
MYS,,,,
NAM,,,,
NER,,,,
NGA,,,,
NLD,,,,
NOR,,,,
NPL,,,,
NZL,,,,
PAK,,,,
PAN,,,,
PER,,,,
PHL,,,,
POL,,,,
PRI,,,,
PRK,,,,
PRT,,,,
PRY,,,,
QAT,,,,
RUS,,,,
SAU,,,,
SDN,,,,
SEN,,,,
SGP,,,,
SRB,,,,
SUR,,,,
SVK,,,,
SVN,,,,
SWE,,,,
SYR,,,,
TGO,,,,
THA,,,,
TJK,,,,
TUN,,,,
TUR,,,,
TZA,,,,
UGA,,,,
UKR,,,,
URY,,,,
USA,,,,
UZB,,,,
VEN,,,,
VNM,,,,
XKX,,,,
ZAF,,,,
ZMB,,,,
ZWE,,,,
