WB_Code,Year,Education_Spending_pct_GDP
IRL,1989,4.71301984786987
IRL,1990,4.60056018829346
IRL,1991,4.78267002105713
IRL,1992,5.0056300163269
IRL,1993,5.11556005477905
IRL,1994,5.18871021270752
IRL,1995,4.87162017822266
IRL,1996,4.75392007827759
IRL,1998,4.28753995895386
IRL,1999,4.13379001617432
IRL,2000,4.13225984573364
IRL,2001,4.08749008178711
IRL,2002,4.10487985610962
IRL,2003,4.20493984222412
IRL,2004,4.48296022415161
IRL,2005,4.51898002624512
IRL,2006,4.54742002487183
IRL,2007,4.71541023254395
IRL,2008,5.45828008651733
IRL,2009,6.15610980987549
IRL,2010,6.04836988449097
IRL,2011,5.77199983596802
IRL,2012,5.70777988433838
IRL,2013,5.23177003860474
IRL,2014,4.73554992675781
IRL,2015,3.62438011169434
IRL,2016,3.65882992744446
IRL,2017,3.37737989425659
IRL,2018,3.30347990989685
IRL,2019,3.22984004020691
IRL,2020,3.19163990020752
IRL,2021,2.904629945755
IRN,1971,2.77033996582031
IRN,1972,2.76672005653381
IRN,1973,2.87667989730835
IRN,1974,2.69034004211426
IRN,1975,2.96556997299194
IRN,1977,5.416259765625
IRN,1981,7.1314001083374
IRN,1982,5.80205011367798
IRN,1983,4.18053007125854
IRN,1984,3.80160999298096
IRN,1985,3.46019005775452
IRN,1986,3.56991004943848
IRN,1987,4.14092016220093
IRN,1988,3.68129992485046
IRN,1989,3.99721002578735
IRN,1990,3.77391004562378
IRN,1991,3.74353003501892
IRN,1992,3.64046001434326
IRN,1993,4.31462001800537
IRN,1995,4.08180999755859
IRN,1996,3.53776001930237
IRN,1999,4.22040987014771
IRN,2000,4.03064012527466
IRN,2001,4.07168006896973
IRN,2002,4.48487997055054
IRN,2003,4.36322021484375
IRN,2004,4.29662990570068
IRN,2005,4.05650997161865
IRN,2006,4.28998994827271
IRN,2007,4.59680986404419
IRN,2008,3.91375994682312
IRN,2009,3.84244990348816
IRN,2010,3.70918011665344
IRN,2011,3.48497009277344
IRN,2012,2.93899989128113
IRN,2013,2.85279011726379
IRN,2014,2.61668992042542
IRN,2015,2.62911009788513
IRN,2016,3.17396998405456
IRN,2017,3.45956993103027
IRN,2018,3.61979007720947
IRN,2019,3.24005007743835
IRN,2020,3.20495009422302
IRN,2022,2.6699800491333
IRN,2023,2.82443290958712
IRQ,1977,3.8570499420166
IRQ,1980,2.42378997802734
IRQ,1989,3.55150008201599
ISL,1990,4.25862979888916
ISL,1993,5.14158010482788
ISL,1994,4.75557994842529
ISL,1995,4.78062009811401
ISL,1996,5.21834993362427
ISL,1998,6.78387022018433
ISL,1999,6.43401002883911
ISL,2000,6.4314398765564
ISL,2001,6.70592021942139
ISL,2002,7.29892015457153
ISL,2003,7.24507999420166
ISL,2004,7.16118001937866
ISL,2005,7.33843994140625
ISL,2006,7.19521999359131
ISL,2007,6.9443302154541
ISL,2008,7.03601980209351
ISL,2009,7.18984985351562
ISL,2010,6.9442400932312
ISL,2011,6.78997993469238
ISL,2012,7.58223009109497
ISL,2013,7.44868993759155
ISL,2014,7.6414098739624
ISL,2015,7.4579701423645
ISL,2016,7.43219995498657
ISL,2017,7.58385992050171
ISL,2018,7.56349992752075
ISL,2019,7.60129976272583
ISL,2020,8.58382987976074
ISL,2021,8.20907974243164
ISL,2022,7.28923988342285
ITA,1970,3.35906004905701
ITA,1971,2.8921000957489
ITA,1974,3.82631993293762
ITA,1975,3.70307993888855
ITA,1976,3.91051006317139
ITA,1978,3.77167010307312
ITA,1979,4.15415000915527
ITA,1983,4.4777398109436
ITA,1984,4.76358985900879
ITA,1985,4.67901992797852
ITA,1986,4.64419984817505
ITA,1988,4.58221006393433
ITA,1993,4.72301006317139
ITA,1994,4.42311000823975
ITA,1995,4.30872011184692
ITA,1996,4.43969011306763
ITA,1998,4.4409499168396
ITA,1999,4.50165987014771
ITA,2000,4.27994012832642
ITA,2001,4.63415002822876
ITA,2002,4.41520023345947
ITA,2003,4.52655982971191
ITA,2004,4.37003993988037
ITA,2005,4.22292995452881
ITA,2006,4.50463008880615
ITA,2007,4.08762979507446
ITA,2008,4.37188005447388
ITA,2009,4.50415992736816
ITA,2010,4.31625986099243
ITA,2011,4.09430980682373
ITA,2012,4.03481006622315
ITA,2013,4.12192010879517
ITA,2014,4.04026985168457
ITA,2015,4.05422019958496
ITA,2016,3.795490026474
ITA,2017,4.02662992477417
ITA,2018,4.24093008041382
ITA,2019,4.07843017578125
ITA,2020,4.41802978515625
ITA,2021,4.17118978500366
ITA,2022,4.0698299407959
JAM,1973,3.63143992424011
JAM,1974,4.24897003173828
JAM,1975,5.22878980636597
JAM,1976,5.85832977294922
JAM,1977,6.02651977539062
JAM,1985,5.39190006256104
JAM,1986,4.60398006439209
JAM,1988,3.94086003303528
JAM,1989,5.18397998809815
JAM,1990,4.7791600227356
JAM,1991,4.38306999206543
JAM,1992,3.33665990829468
JAM,1993,3.21403002738953
JAM,1994,4.06418991088867
JAM,1995,3.38908004760742
JAM,1996,3.67773008346558
JAM,1997,4.37953996658325
JAM,2000,4.98346996307373
JAM,2001,5.38103008270264
JAM,2002,5.37522983551025
JAM,2003,4.25684976577759
JAM,2004,3.91254997253418
JAM,2005,4.61641979217529
JAM,2007,5.49022006988525
JAM,2008,6.19131994247437
JAM,2009,6.19848012924194
JAM,2010,6.37060022354126
JAM,2011,6.26664018630981
JAM,2012,6.11246013641357
JAM,2013,6.25108003616333
JAM,2014,6.01586008071899
JAM,2015,5.45522022247315
JAM,2016,5.31461000442505
JAM,2017,5.26016998291016
JAM,2018,5.41380977630615
JAM,2019,5.16364002227783
JAM,2020,5.38065828197341
JAM,2021,5.63123989105225
JAM,2022,5.35435009002685
JAM,2023,5.65453693979426
KGZ,1994,5.58819007873535
KGZ,1995,6.15642976760864
KGZ,1996,4.90260982513428
KGZ,1998,4.91963005065918
KGZ,1999,4.0852198600769
KGZ,2000,3.50838994979858
KGZ,2001,3.85418009757996
KGZ,2002,4.44545984268188
KGZ,2003,4.47541999816895
KGZ,2004,4.62243986129761
KGZ,2005,4.87383985519409
KGZ,2006,5.54986000061035
KGZ,2007,6.4670000076294
KGZ,2008,5.91318988800049
KGZ,2009,6.23267984390259
KGZ,2010,5.81883001327515
KGZ,2011,6.79061985015869
KGZ,2012,7.38423013687134
KGZ,2013,6.78020000457764
KGZ,2014,5.53159999847412
KGZ,2015,5.98550987243652
KGZ,2016,6.58615016937256
KGZ,2017,6.02618980407715
KGZ,2018,5.55267000198364
KGZ,2019,5.08025979995728
KGZ,2020,5.7331600189209
KGZ,2021,5.16667985916138
KGZ,2022,7.16884382244099
KGZ,2023,6.82694680798777
KOR,1970,3.41404008865356
KOR,1971,3.73918008804321
KOR,1972,3.22075009346008
KOR,1973,2.68021988868713
KOR,1975,2.08925008773804
KOR,1976,2.75457000732422
KOR,1977,2.42641997337341
KOR,1979,3.01883006095886
KOR,1980,3.45873999595642
KOR,1981,2.89862990379333
KOR,1982,6.32966995239258
KOR,1983,4.31538009643555
KOR,1984,4.00532007217407
KOR,1985,3.98644995689392
KOR,1986,3.63594007492065
KOR,1987,3.37423992156982
KOR,1988,2.74737000465393
KOR,1989,3.06262993812561
KOR,1990,3.03873991966248
KOR,1991,3.48924994468689
KOR,1992,3.57788991928101
KOR,1993,3.69697999954224
KOR,1994,3.01831007003784
KOR,1995,2.93543004989624
KOR,1998,3.36813998222351
KOR,1999,3.3692901134491
KOR,2015,4.45423984527588
KOR,2016,4.33309984207153
KOR,2017,4.32823991775513
KOR,2018,4.45807981491089
KOR,2019,4.68465995788574
KOR,2020,4.8017201423645
KOR,2021,4.86627006530762
KOR,2022,5.81446981430054
KWT,1971,3.28733992576599
KWT,1972,2.81574988365173
KWT,1973,3.30368995666504
KWT,1974,3.52160000801086
KWT,1975,2.13554000854492
KWT,1976,3.11508011817932
KWT,1977,3.36866998672485
KWT,1978,4.08185005187988
KWT,1979,3.42856001853943
KWT,1980,2.79101991653442
KWT,1981,2.71914005279541
KWT,1982,3.0335099697113
KWT,1983,5.09027004241943
KWT,1984,5.14888000488281
KWT,1985,5.00761985778809
KWT,1986,5.40083980560303
KWT,1992,14.1988296508789
KWT,1996,5.85961008071899
KWT,1997,5.5826301574707
KWT,2001,6.5858302116394
KWT,2002,6.551109790802
KWT,2004,5.53506994247437
KWT,2005,4.73833990097046
KWT,2006,3.75997996330261
KWT,2016,5.95593958839578
KWT,2017,6.35444222156987
KWT,2018,6.39165256830382
KWT,2019,6.72789551402991
KWT,2020,6.24513034913966
KWT,2021,7.76246706467929
KWT,2022,6.58236499988891
KWT,2023,5.0262608311279
LIE,2003,2.4601399898529
LIE,2004,2.43333005905151
LIE,2006,2.05380988121033
LIE,2007,1.92119002342224
LIE,2008,2.04836988449097
LIE,2011,2.55604004859924
LTU,1993,3.91314005851746
LTU,1994,4.76287984848022
LTU,1995,4.73458003997803
LTU,1996,4.81781005859375
LTU,1997,5.42383003234863
LTU,1998,6.08957004547119
LTU,2001,5.83644008636475
LTU,2002,5.79093980789185
LTU,2003,5.1067099571228
LTU,2004,5.14797019958496
LTU,2005,4.87698984146118
LTU,2006,4.83653020858765
LTU,2007,4.59159994125366
LTU,2008,4.83649015426636
LTU,2009,5.56941986083984
LTU,2010,5.36880016326904
LTU,2011,5.15469980239868
LTU,2012,4.78232002258301
LTU,2013,4.62416982650757
LTU,2014,4.5076699256897
LTU,2015,4.21646022796631
LTU,2016,4.01143980026245
LTU,2017,3.81236004829407
LTU,2018,3.85628008842468
LTU,2019,3.9415500164032
LTU,2020,4.47348022460938
LTU,2021,4.23977994918823
LTU,2022,4.25285005569458
MAR,1973,4.67168998718262
MAR,1974,4.27548980712891
MAR,1975,5.21270990371704
MAR,1976,6.0271201133728
MAR,1977,6.08424997329712
MAR,1978,6.20182991027832
MAR,1979,6.31548023223877
MAR,1980,5.10485982894897
MAR,1981,5.68926000595093
MAR,1982,6.12268018722534
MAR,1983,6.17467021942139
MAR,1984,5.19013023376465
MAR,1985,5.10216999053955
MAR,1986,5.25928020477295
MAR,1987,5.16213989257812
MAR,1988,4.57781982421875
MAR,1989,4.7573299407959
MAR,1990,4.51048994064331
MAR,1991,4.30316019058228
MAR,1993,4.82496976852417
MAR,1995,4.73480987548828
MAR,1998,4.59939002990723
MAR,1999,4.62526988983154
MAR,2008,4.85339021682739
MAR,2009,4.83119010925293
MAR,2012,5.55294838577208
MAR,2014,5.48276036642721
MAR,2015,5.133369043677
MAR,2016,5.08530197423073
MAR,2017,4.73564982004448
MAR,2018,4.96022713486949
MAR,2019,5.0032567210502
MAR,2020,6.28428263644307
MAR,2021,5.64273401285138
MAR,2022,5.91224674061277
MAR,2023,6.02096928801329
MCO,1988,0.88102000951767
MCO,1989,0.957539975643158
MCO,1992,0.913609981536865
MCO,1995,1.06456005573273
MCO,1996,1.08222997188568
MCO,1997,1.21240997314453
MCO,1998,1.20881998538971
MCO,1999,1.19526994228363
MCO,2000,1.25537002086639
MCO,2004,1.26668000221252
MCO,2009,1.35431003570557
MCO,2010,1.31735002994537
MCO,2011,1.58989000320435
MCO,2012,1.78004002571106
MCO,2013,1.33440005779266
MCO,2014,1.02186000347137
MCO,2016,1.37126004695892
MCO,2017,1.45816004276276
MCO,2019,1.15896999835968
MCO,2021,1.41926002502441
MCO,2022,1.17105996608734
MCO,2023,1.73223996162415
MDA,1996,9.89663982391357
MDA,1999,4.6625599861145
MDA,2000,4.48639011383057
MDA,2001,4.84684991836548
MDA,2002,5.4979100227356
MDA,2003,5.42489004135132
MDA,2004,6.77103996276855
MDA,2005,7.16270017623901
MDA,2006,7.49899005889893
MDA,2007,8.29337024688721
MDA,2008,8.23727035522461
MDA,2009,9.5097599029541
MDA,2010,7.5922999382019
MDA,2011,7.13638019561768
MDA,2012,6.98338985443115
MDA,2013,5.90975516494477
MDA,2014,6.33806991577148
MDA,2015,5.76665405944246
MDA,2016,5.67208003997803
MDA,2017,5.71016979217529
MDA,2018,5.53887987136841
MDA,2019,6.22576999664307
MDA,2020,6.6012601852417
MDA,2021,5.82405996322632
MDA,2022,6.11053991317749
MDA,2023,6.62547016143799
MEX,1989,2.28201007843018
MEX,1990,2.32498002052307
MEX,1991,2.54800009727478
MEX,1992,3.00501990318298
MEX,1994,3.47707009315491
MEX,1995,3.49746990203857
MEX,1998,3.17838001251221
MEX,1999,3.36164999008179
MEX,2000,3.80870008468628
MEX,2001,4.0313401222229
MEX,2002,4.24307012557983
MEX,2003,4.83262014389038
MEX,2004,4.51204013824463
MEX,2005,4.63395023345947
MEX,2006,4.4931697845459
MEX,2007,4.47921991348267
MEX,2008,4.60609006881714
MEX,2009,4.94933986663818
MEX,2010,4.93695020675659
MEX,2011,4.90405988693237
MEX,2012,4.88348007202148
MEX,2013,4.50858020782471
MEX,2014,5.06808996200562
MEX,2015,5.05087995529175
MEX,2016,4.75795984268188
MEX,2017,4.39752006530762
MEX,2018,4.13945007324219
MEX,2020,4.49967002868652
MEX,2021,4.23823022842407
MEX,2022,4.0658597946167
MKD,1992,4.73344993591309
MKD,1993,4.63056993484497
MKD,1994,4.52628993988037
MKD,1995,4.27123022079468
MKD,1996,4.30311012268066
MKD,2002,3.30014991760254
MNG,1997,3.948970079422
MNG,1998,5.49302005767822
MNG,1999,5.14565992355347
MNG,2000,5.55037021636963
MNG,2002,7.21078014373779
MNG,2004,4.32572984695435
MNG,2007,4.69013023376465
MNG,2009,5.14484977722168
MNG,2010,4.64510011672974
MNG,2011,4.60902976989746
MNG,2012,5.19520998001099
MNG,2013,4.94077014923096
MNG,2014,4.71484994888306
MNG,2015,4.22361993789673
MNG,2016,5.18310022354126
MNG,2017,4.06897020339966
MNG,2023,3.65764999389648
MOZ,1998,1.80137002468109
MOZ,1999,2.64153003692627
MOZ,2004,3.19839000701904
MOZ,2005,3.85834002494812
MOZ,2006,3.7359299659729
MOZ,2010,5.24539789470058
MOZ,2011,5.53052494030773
MOZ,2012,5.5575098991394
MOZ,2013,6.03576993942261
MOZ,2014,6.39920843528224
MOZ,2015,5.91515660575298
MOZ,2016,5.80086994171143
MOZ,2017,5.48664999008179
MOZ,2018,5.38976001739502
MOZ,2019,5.99969523584354
MOZ,2020,6.17059556957808
MOZ,2021,6.34063583505687
MOZ,2022,5.97607342054314
MUS,1971,3.11274003982544
MUS,1972,3.07091999053955
MUS,1973,2.78133010864258
MUS,1975,2.51991009712219
MUS,1977,4.3818998336792
MUS,1978,5.49202013015747
MUS,1981,4.98683977127075
MUS,1982,4.54262018203735
MUS,1983,4.39455986022949
MUS,1984,4.03251981735229
MUS,1985,3.91043996810913
MUS,1986,3.43728995323181
MUS,1987,3.01674008369446
MUS,1988,3.08984994888306
MUS,1989,3.46896004676819
MUS,1990,3.12822008132935
MUS,1991,3.46325993537903
MUS,1999,3.88741993904114
MUS,2000,3.71903991699219
MUS,2001,3.07347989082336
MUS,2002,3.02024006843567
MUS,2003,4.35717010498047
MUS,2004,4.25577020645142
MUS,2005,4.02402019500732
MUS,2006,3.64839005470276
MUS,2007,3.18540000915527
MUS,2008,3.06307005882263
MUS,2009,3.04731011390686
MUS,2010,3.55147004127502
MUS,2011,3.33207011222839
MUS,2012,3.41820001602173
MUS,2013,3.56775999069214
MUS,2014,4.81514978408813
MUS,2015,4.75847005844116
MUS,2016,4.88207006454468
MUS,2017,4.87887001037598
MUS,2018,4.67447996139526
MUS,2019,4.54195022583008
MUS,2020,4.35243988037109
MUS,2021,4.67151021957397
MUS,2022,4.84085988998413
MUS,2023,4.56763982772827
MYS,1971,4.55094003677368
MYS,1979,5.08760976791382
MYS,1980,5.72619009017944
MYS,1981,6.69696998596191
MYS,1982,7.03278017044067
MYS,1984,5.66629981994629
MYS,1985,6.1111102104187
MYS,1986,7.24336004257202
MYS,1987,6.32600021362305
MYS,1992,5.11143016815185
MYS,1993,4.65463018417358
MYS,1994,4.70528984069824
MYS,1995,4.3425498008728
MYS,1996,4.91384983062744
MYS,1997,4.62037992477417
MYS,1999,5.68678998947144
MYS,2000,5.9716100692749
MYS,2001,7.48446989059448
MYS,2002,7.65792989730835
MYS,2003,7.50288009643555
MYS,2004,5.92389011383057
MYS,2006,4.48576021194458
MYS,2007,4.37253999710083
MYS,2008,3.95851993560791
MYS,2009,5.97418022155762
MYS,2010,4.96645021438599
MYS,2011,5.76293992996216
MYS,2012,5.73902988433838
MYS,2013,5.48120021820068
MYS,2014,5.21263980865479
MYS,2015,4.89486980438232
MYS,2016,4.75192022323608
MYS,2017,4.6753101348877
MYS,2018,4.47865009307861
MYS,2019,4.15776014328003
MYS,2020,3.91176009178162
MYS,2021,4.26109393398867
MYS,2022,3.49933781956284
MYS,2023,3.51480007171631
NAM,1999,7.13076019287109
NAM,2000,6.901780128479
NAM,2001,6.88886976242065
NAM,2002,6.7423300743103
NAM,2003,6.13713979721069
NAM,2006,6.03171014785767
NAM,2008,6.40342998504639
NAM,2010,8.24330043792725
NAM,2011,8.02137930818109
NAM,2012,9.24281237985165
NAM,2013,8.59541659523254
NAM,2014,3.66711166353218
NAM,2015,9.8507685020388
NAM,2016,10.5927948535144
NAM,2017,1.39524534605831
NAM,2018,8.88112249415185
NAM,2019,9.32253195522987
NAM,2020,9.27799879073429
NAM,2021,10.3914477380895
NAM,2022,9.3919470845238
NER,1971,1.0522700548172
NER,1990,2.07436990737915
NER,1991,2.30833005905151
NER,1992,2.24298000335693
NER,1993,2.06511998176575
NER,1994,2.26538991928101
NER,1995,2.32975006103516
NER,1996,2.14418005943298
NER,1999,2.56853008270264
NER,2000,2.5650200843811
NER,2001,2.27981996536255
NER,2002,2.40134000778198
NER,2003,1.93705999851227
NER,2006,2.55852007865906
NER,2007,3.01462006568909
NER,2008,2.72311997413635
NER,2009,3.33588004112244
NER,2010,2.7219500541687
NER,2011,3.07762002944946
NER,2012,3.1868200302124
NER,2013,3.68952989578247
NER,2014,5.10368013381958
NER,2015,4.48669004440308
NER,2016,2.95843005180359
NER,2017,2.57818007469177
NER,2018,3.44956994056702
NER,2019,3.53358621816013
NER,2020,3.81906792754322
NER,2021,3.82175828133515
NER,2022,3.71231832079626
NER,2023,4.07412707618114
NGA,1974,3.21017003059387
NGA,1975,3.0636899471283
NGA,2012,0.549233086121929
NGA,2013,0.534206768008091
NGA,2014,0.470742539133469
NGA,2015,0.436954905120644
NGA,2016,0.393045646249364
NGA,2017,0.396354013591345
NGA,2018,0.419998493796127
NGA,2019,0.358479005206684
NGA,2020,0.35963763718498
NGA,2021,0.381919104397325
NGA,2022,0.348516707890877
NGA,2023,0.319069049792343
NLD,1970,6.2120099067688
NLD,1971,6.3189001083374
NLD,1972,6.3092098236084
NLD,1973,5.83436012268066
NLD,1974,6.3265700340271
NLD,1975,6.36229991912842
NLD,1976,6.30300998687744
NLD,1977,6.17341995239258
NLD,1978,6.17533016204834
NLD,1979,6.0813798904419
NLD,1980,5.88414001464844
NLD,1981,5.7409200668335
NLD,1982,5.6866397857666
NLD,1983,5.49270009994507
NLD,1984,5.0826301574707
NLD,1985,5.46482992172241
NLD,1986,5.55336999893188
NLD,1987,5.88924980163574
NLD,1988,5.4634199142456
NLD,1990,5.22109985351562
NLD,1991,5.1540699005127
NLD,1993,4.74961996078491
NLD,1994,4.65639019012451
NLD,1995,4.57215023040771
NLD,1996,4.48540019989014
NLD,1998,4.53430986404419
NLD,1999,4.4996600151062
NLD,2000,4.58325004577637
NLD,2001,4.68933010101318
NLD,2002,4.78904008865356
NLD,2003,5.0199499130249
NLD,2004,5.0411901473999
NLD,2005,5.08871984481812
NLD,2006,5.01913976669312
NLD,2007,4.85854005813599
NLD,2008,4.99737977981567
NLD,2009,5.38561010360718
NLD,2010,5.45634984970093
NLD,2011,5.41595983505249
NLD,2012,5.36694002151489
NLD,2013,5.48417997360229
NLD,2014,5.40205001831055
NLD,2015,5.27802991867065
NLD,2016,5.38952016830444
NLD,2017,5.08747005462646
NLD,2018,5.26723003387451
NLD,2019,5.0559401512146
NLD,2020,5.29139995574951
NLD,2021,5.37661981582642
NLD,2022,5.17918014526367
NOR,1972,5.90405988693237
NOR,1973,5.89171981811523
NOR,1974,5.67365980148315
NOR,1975,5.55022001266479
NOR,1976,6.16359996795654
NOR,1977,5.97280979156494
NOR,1978,6.44437980651855
NOR,1980,5.78014993667603
NOR,1981,5.54364013671875
NOR,1982,5.6788501739502
NOR,1983,5.64629983901978
NOR,1984,5.42936992645264
NOR,1985,5.25567007064819
NOR,1986,5.53984022140503
NOR,1987,5.7880802154541
NOR,1988,5.86597013473511
NOR,1989,6.29984998703003
NOR,1990,6.31036996841431
NOR,1991,6.37321996688843
NOR,1992,6.63613986968994
NOR,1993,7.6766300201416
NOR,1994,7.83044004440308
NOR,1995,7.69568014144897
NOR,1996,7.1380500793457
NOR,1997,7.30343008041382
NOR,1998,7.35759019851685
NOR,1999,6.96222019195557
NOR,2000,6.45934009552002
NOR,2001,6.82015991210938
NOR,2002,7.42246007919312
NOR,2003,7.39933013916016
NOR,2004,7.27744007110596
NOR,2005,6.84082984924316
NOR,2006,6.35822010040283
NOR,2007,6.50671005249023
NOR,2008,6.24915981292725
NOR,2009,7.07067012786865
