Year,Country,Gold,Silver,Bronze,Total
1896,GRE,10.0,17.0,17.0,44.0
1896,USA,11.0,6.0,2.0,19.0
1896,GER,7.0,5.0,2.0,14.0
1896,FRA,5.0,4.0,2.0,11.0
1896,GBR,3.0,3.0,3.0,9.0
1896,DEN,1.0,2.0,3.0,6.0
1896,HUN,2.0,1.0,3.0,6.0
1896,AUT,2.0,1.0,2.0,5.0
1896,AUS,2.0,0.0,1.0,3.0
1896,SUI,1.0,2.0,0.0,3.0
1900,FRA,28.0,40.0,34.0,102.0
1900,USA,21.0,16.0,17.0,54.0
1900,GBR,19.0,11.0,12.0,42.0
1900,BEL,6.0,7.0,5.0,18.0
1900,SUI,6.0,2.0,1.0,9.0
1900,GER,4.0,3.0,1.0,8.0
1900,DEN,2.0,3.0,2.0,7.0
1900,NED,1.0,2.0,4.0,7.0
1900,AUS,3.0,0.0,3.0,6.0
1900,AUT,0.0,3.0,3.0,6.0
1900,HUN,1.0,2.0,2.0,5.0
1900,ITA,3.0,2.0,0.0,5.0
1900,NOR,0.0,2.0,3.0,5.0
1900,BOH,0.0,1.0,2.0,3.0
1900,CAN,1.0,0.0,1.0,2.0
1900,CUB,1.0,1.0,0.0,2.0
1900,IND,0.0,2.0,0.0,2.0
1900,SWE,1.0,0.0,1.0,2.0
1900,COL,0.0,1.0,0.0,1.0
1900,ESP,1.0,0.0,0.0,1.0
1900,HAI,1.0,0.0,0.0,1.0
1900,LUX,1.0,0.0,0.0,1.0
1900,MEX,0.0,0.0,1.0,1.0
1900,NZL,1.0,0.0,0.0,1.0
1904,USA,76.0,79.0,75.0,230.0
1904,GER,4.0,5.0,7.0,16.0
1904,CAN,4.0,1.0,1.0,6.0
1904,AUS,0.0,3.0,1.0,4.0
1904,AUT,2.0,1.0,1.0,4.0
1904,CUB,4.0,0.0,0.0,4.0
1904,HUN,2.0,1.0,1.0,4.0
1904,SUI,1.0,0.0,2.0,3.0
1904,FRA,0.0,2.0,0.0,2.0
1904,GBR,1.0,1.0,0.0,2.0
1904,GRE,1.0,0.0,1.0,2.0
1904,NOR,2.0,0.0,0.0,2.0
1906,FRA,15.0,10.0,16.0,41.0
1906,GRE,8.0,14.0,13.0,35.0
1906,GBR,8.0,12.0,5.0,25.0
1906,USA,12.0,5.0,6.0,23.0
1906,ITA,7.0,6.0,3.0,16.0
1906,GER,4.0,6.0,4.0,14.0
1906,SWE,2.0,5.0,7.0,14.0
1906,HUN,2.0,5.0,3.0,10.0
1906,AUT,3.0,3.0,3.0,9.0
1906,SUI,4.0,3.0,1.0,8.0
1906,BEL,2.0,2.0,3.0,7.0
1906,DEN,3.0,2.0,1.0,6.0
1906,FIN,2.0,1.0,1.0,4.0
1906,AUS,0.0,0.0,3.0,3.0
1906,NED,0.0,1.0,2.0,3.0
1906,BOH,0.0,0.0,2.0,2.0
1906,CAN,1.0,1.0,0.0,2.0
1906,NOR,1.0,1.0,0.0,2.0
1908,GBR,56.0,50.0,37.0,143.0
1908,USA,22.0,12.0,12.0,46.0
1908,SWE,8.0,6.0,11.0,25.0
1908,FRA,5.0,5.0,9.0,19.0
1908,CAN,3.0,3.0,10.0,16.0
1908,GER,3.0,5.0,5.0,13.0
1908,HUN,3.0,4.0,2.0,9.0
1908,BEL,1.0,5.0,2.0,8.0
1908,NOR,2.0,3.0,3.0,8.0
1908,ANZ,1.0,2.0,2.0,5.0
1908,DEN,0.0,2.0,3.0,5.0
1908,FIN,1.0,1.0,3.0,5.0
1908,GRE,0.0,3.0,1.0,4.0
1908,ITA,2.0,2.0,0.0,4.0
1908,RUS,1.0,2.0,0.0,3.0
1908,BOH,0.0,0.0,2.0,2.0
1908,NED,0.0,0.0,2.0,2.0
1908,RSA,1.0,1.0,0.0,2.0
1908,AUT,0.0,0.0,1.0,1.0
1912,SWE,24.0,24.0,17.0,65.0
1912,USA,26.0,18.0,19.0,63.0
1912,GBR,10.0,15.0,16.0,41.0
1912,FIN,9.0,8.0,9.0,26.0
1912,GER,6.0,13.0,7.0,26.0
1912,FRA,7.0,5.0,3.0,15.0
1912,DEN,1.0,6.0,5.0,12.0
1912,NOR,4.0,1.0,5.0,10.0
1912,CAN,3.0,2.0,3.0,8.0
1912,HUN,3.0,2.0,3.0,8.0
1912,ITA,5.0,1.0,2.0,8.0
1912,ANZ,2.0,2.0,3.0,7.0
1912,BEL,2.0,1.0,3.0,6.0
1912,RSA,4.0,2.0,0.0,6.0
1912,RUS,0.0,2.0,3.0,5.0
1912,AUT,0.0,2.0,2.0,4.0
1912,NED,0.0,0.0,3.0,3.0
1912,GRE,1.0,0.0,1.0,2.0
1912,SUI,1.0,0.0,0.0,1.0
1920,USA,41.0,27.0,27.0,95.0
1920,SWE,19.0,20.0,25.0,64.0
1920,GBR,14.0,16.0,13.0,43.0
1920,BEL,16.0,12.0,14.0,42.0
1920,FRA,9.0,20.0,13.0,42.0
1920,FIN,15.0,10.0,9.0,34.0
1920,NOR,10.0,10.0,9.0,29.0
1920,ITA,14.0,6.0,5.0,25.0
1920,DEN,3.0,9.0,1.0,13.0
1920,NED,4.0,2.0,5.0,11.0
1920,SUI,2.0,2.0,7.0,11.0
1920,RSA,3.0,4.0,3.0,10.0
1920,CAN,3.0,3.0,3.0,9.0
1920,AUS,0.0,2.0,1.0,3.0
1920,BRA,1.0,1.0,1.0,3.0
1920,EST,1.0,2.0,0.0,3.0
1920,ESP,0.0,2.0,0.0,2.0
1920,JPN,0.0,2.0,0.0,2.0
1920,TCH,0.0,0.0,2.0,2.0
1920,GRE,0.0,1.0,0.0,1.0
1920,LUX,0.0,1.0,0.0,1.0
1920,NZL,0.0,0.0,1.0,1.0
1924,USA,45.0,27.0,27.0,99.0
1924,FRA,14.0,14.0,12.0,40.0
1924,FIN,14.0,13.0,10.0,37.0
1924,GBR,9.0,14.0,12.0,35.0
1924,SWE,4.0,13.0,12.0,29.0
1924,SUI,7.0,8.0,10.0,25.0
1924,ITA,8.0,3.0,5.0,16.0
1924,BEL,3.0,7.0,3.0,13.0
1924,DEN,2.0,6.0,3.0,11.0
1924,NED,4.0,1.0,6.0,11.0
1924,HUN,2.0,4.0,4.0,10.0
1924,NOR,5.0,2.0,3.0,10.0
1924,TCH,1.0,4.0,5.0,10.0
1924,ARG,1.0,3.0,2.0,6.0
1924,AUS,3.0,1.0,2.0,6.0
1924,EST,1.0,1.0,4.0,6.0
1924,AUT,0.0,3.0,1.0,4.0
1924,CAN,0.0,3.0,1.0,4.0
1924,RSA,1.0,1.0,1.0,3.0
1924,IRL,0.0,1.0,1.0,2.0
1924,LUX,1.0,1.0,0.0,2.0
1924,POL,0.0,1.0,1.0,2.0
1924,YUG,2.0,0.0,0.0,2.0
1924,GRE,1.0,0.0,0.0,1.0
1924,HAI,0.0,0.0,1.0,1.0
1924,JPN,0.0,0.0,1.0,1.0
1924,MON,0.0,0.0,1.0,1.0
1924,NZL,0.0,0.0,1.0,1.0
1924,POR,0.0,0.0,1.0,1.0
1924,ROU,0.0,0.0,1.0,1.0
1924,URU,1.0,0.0,0.0,1.0
1928,USA,22.0,18.0,16.0,56.0
1928,GER,11.0,9.0,19.0,39.0
1928,FIN,8.0,8.0,9.0,25.0
1928,FRA,7.0,12.0,6.0,25.0
1928,SWE,7.0,6.0,12.0,25.0
1928,NED,8.0,10.0,5.0,23.0
1928,GBR,4.0,11.0,7.0,22.0
1928,ITA,7.0,6.0,7.0,20.0
1928,SUI,7.0,6.0,4.0,17.0
1928,CAN,4.0,4.0,7.0,15.0
1928,HUN,5.0,5.0,0.0,10.0
1928,DEN,3.0,2.0,4.0,9.0
1928,TCH,2.0,5.0,2.0,9.0
1928,ARG,3.0,3.0,1.0,7.0
1928,POL,2.0,1.0,4.0,7.0
1928,EST,2.0,1.0,2.0,5.0
1928,JPN,2.0,2.0,1.0,5.0
1928,YUG,1.0,1.0,3.0,5.0
1928,AUS,1.0,2.0,1.0,4.0
1928,AUT,3.0,0.0,1.0,4.0
1928,EGY,2.0,1.0,1.0,4.0
1928,NOR,1.0,2.0,1.0,4.0
1928,BEL,0.0,1.0,2.0,3.0
1928,RSA,1.0,0.0,2.0,3.0
1928,CHI,0.0,1.0,0.0,1.0
1928,ESP,1.0,0.0,0.0,1.0
1928,HAI,0.0,1.0,0.0,1.0
1928,IND,1.0,0.0,0.0,1.0
1928,IRL,1.0,0.0,0.0,1.0
1928,LUX,1.0,0.0,0.0,1.0
1928,NZL,1.0,0.0,0.0,1.0
1928,PHI,0.0,0.0,1.0,1.0
1928,POR,0.0,0.0,1.0,1.0
1928,URU,1.0,0.0,0.0,1.0
1932,USA,44.0,36.0,30.0,110.0
1932,ITA,12.0,12.0,12.0,36.0
1932,FIN,5.0,8.0,12.0,25.0
1932,GER,5.0,12.0,7.0,24.0
1932,SWE,10.0,5.0,9.0,24.0
1932,FRA,11.0,5.0,4.0,20.0
1932,JPN,7.0,7.0,4.0,18.0
1932,GBR,5.0,7.0,5.0,17.0
1932,CAN,2.0,5.0,9.0,16.0
1932,HUN,6.0,5.0,5.0,16.0
1932,POL,3.0,2.0,4.0,9.0
1932,DEN,0.0,5.0,3.0,8.0
1932,NED,2.0,5.0,1.0,8.0
1932,TCH,1.0,3.0,2.0,6.0
1932,AUS,3.0,1.0,1.0,5.0
1932,AUT,1.0,1.0,3.0,5.0
1932,RSA,2.0,0.0,3.0,5.0
1932,ARG,3.0,1.0,0.0,4.0
1932,PHI,0.0,0.0,3.0,3.0
1932,IRL,2.0,0.0,0.0,2.0
1932,MEX,0.0,2.0,0.0,2.0
1932,BEL,0.0,0.0,1.0,1.0
1932,ESP,0.0,0.0,1.0,1.0
1932,IND,1.0,0.0,0.0,1.0
1932,LAT,0.0,1.0,0.0,1.0
1932,NZL,0.0,1.0,0.0,1.0
1932,SUI,0.0,1.0,0.0,1.0
1932,URU,0.0,0.0,1.0,1.0
1936,GER,38.0,31.0,32.0,101.0
1936,USA,24.0,21.0,12.0,57.0
1936,ITA,9.0,13.0,5.0,27.0
1936,SWE,6.0,5.0,10.0,21.0
1936,FIN,8.0,6.0,6.0,20.0
1936,JPN,6.0,4.0,10.0,20.0
1936,FRA,7.0,6.0,6.0,19.0
1936,SUI,4.0,9.0,5.0,18.0
1936,AUT,5.0,7.0,5.0,17.0
1936,NED,6.0,4.0,7.0,17.0
1936,HUN,10.0,1.0,5.0,16.0
1936,GBR,4.0,7.0,3.0,14.0
1936,CAN,1.0,3.0,5.0,9.0
1936,POL,0.0,4.0,5.0,9.0
1936,TCH,3.0,5.0,1.0,9.0
1936,ARG,2.0,2.0,3.0,7.0
1936,EST,2.0,2.0,3.0,7.0
1936,NOR,1.0,3.0,2.0,6.0
1936,DEN,0.0,2.0,3.0,5.0
1936,EGY,2.0,1.0,2.0,5.0
1936,BEL,0.0,0.0,3.0,3.0
1936,MEX,0.0,0.0,3.0,3.0
1936,LAT,0.0,1.0,1.0,2.0
1936,TUR,1.0,0.0,1.0,2.0
1936,AUS,0.0,0.0,1.0,1.0
1936,IND,1.0,0.0,0.0,1.0
1936,NZL,1.0,0.0,0.0,1.0
1936,PHI,0.0,0.0,1.0,1.0
1936,POR,0.0,0.0,1.0,1.0
1936,ROU,0.0,1.0,0.0,1.0
1936,RSA,0.0,1.0,0.0,1.0
1936,YUG,0.0,1.0,0.0,1.0
1948,USA,38.0,27.0,19.0,84.0
1948,SWE,17.0,11.0,18.0,46.0
1948,FRA,11.0,6.0,15.0,32.0
1948,ITA,9.0,12.0,10.0,31.0
1948,GBR,4.0,16.0,7.0,27.0
1948,HUN,10.0,5.0,12.0,27.0
1948,DEN,5.0,8.0,9.0,22.0
1948,FIN,8.0,8.0,6.0,22.0
1948,SUI,5.0,12.0,5.0,22.0
1948,NED,5.0,2.0,9.0,16.0
1948,AUS,2.0,6.0,5.0,13.0
1948,TUR,6.0,4.0,2.0,12.0
1948,TCH,6.0,2.0,3.0,11.0
1948,AUT,2.0,2.0,4.0,8.0
1948,ARG,3.0,3.0,1.0,7.0
1948,BEL,2.0,2.0,3.0,7.0
1948,NOR,1.0,3.0,3.0,7.0
1948,RSA,2.0,2.0,2.0,6.0
1948,EGY,2.0,2.0,1.0,5.0
1948,MEX,2.0,1.0,2.0,5.0
1948,CAN,0.0,2.0,2.0,4.0
1948,JAM,1.0,2.0,0.0,3.0
1948,KOR,0.0,0.0,2.0,2.0
1948,PAN,0.0,0.0,2.0,2.0
1948,POL,1.0,0.0,1.0,2.0
1948,POR,0.0,1.0,1.0,2.0
1948,URU,0.0,1.0,1.0,2.0
1948,YUG,0.0,2.0,0.0,2.0
1948,BRA,0.0,0.0,1.0,1.0
1948,CUB,0.0,1.0,0.0,1.0
1948,ESP,0.0,1.0,0.0,1.0
1948,IND,1.0,0.0,0.0,1.0
1948,IRI,0.0,0.0,1.0,1.0
1948,IRL,0.0,0.0,1.0,1.0
1948,PER,1.0,0.0,0.0,1.0
1948,PUR,0.0,0.0,1.0,1.0
1948,SRI,0.0,1.0,0.0,1.0
1948,TTO,0.0,1.0,0.0,1.0
1952,USA,40.0,19.0,17.0,76.0
1952,URS,22.0,29.0,19.0,70.0
1952,HUN,16.0,10.0,16.0,42.0
1952,SWE,12.0,13.0,10.0,35.0
1952,GER,0.0,7.0,17.0,24.0
1952,FIN,6.0,3.0,13.0,22.0
1952,ITA,8.0,9.0,4.0,21.0
1952,FRA,6.0,6.0,6.0,18.0
1952,SUI,2.0,6.0,6.0,14.0
1952,TCH,7.0,3.0,3.0,13.0
1952,AUS,6.0,2.0,3.0,11.0
1952,GBR,1.0,2.0,8.0,11.0
1952,RSA,2.0,4.0,4.0,10.0
1952,JPN,1.0,6.0,1.0,8.0
1952,IRI,0.0,3.0,4.0,7.0
1952,DEN,2.0,1.0,3.0,6.0
1952,ARG,1.0,2.0,2.0,5.0
1952,JAM,2.0,3.0,0.0,5.0
1952,NED,0.0,5.0,0.0,5.0
1952,NOR,3.0,2.0,0.0,5.0
1952,BEL,2.0,2.0,0.0,4.0
1952,POL,1.0,2.0,1.0,4.0
1952,ROU,1.0,1.0,2.0,4.0
1952,BRA,1.0,0.0,2.0,3.0
1952,CAN,1.0,2.0,0.0,3.0
1952,NZL,1.0,0.0,2.0,3.0
1952,TUR,2.0,0.0,1.0,3.0
1952,YUG,1.0,2.0,0.0,3.0
1952,AUT,0.0,1.0,1.0,2.0
1952,CHI,0.0,2.0,0.0,2.0
1952,IND,1.0,0.0,1.0,2.0
1952,KOR,0.0,0.0,2.0,2.0
1952,LIB,0.0,1.0,1.0,2.0
1952,TTO,0.0,0.0,2.0,2.0
1952,URU,0.0,0.0,2.0,2.0
1952,BUL,0.0,0.0,1.0,1.0
1952,EGY,0.0,0.0,1.0,1.0
1952,ESP,0.0,1.0,0.0,1.0
1952,IRL,0.0,1.0,0.0,1.0
1952,LUX,1.0,0.0,0.0,1.0
1952,MEX,0.0,1.0,0.0,1.0
1952,POR,0.0,0.0,1.0,1.0
1952,VEN,0.0,0.0,1.0,1.0
1956,URS,37.0,29.0,32.0,98.0
1956,USA,32.0,25.0,17.0,74.0
1956,AUS,13.0,8.0,14.0,35.0
1956,GER,6.0,13.0,7.0,26.0
1956,HUN,9.0,10.0,7.0,26.0
1956,ITA,8.0,8.0,9.0,25.0
1956,GBR,6.0,7.0,11.0,24.0
1956,SWE,8.0,5.0,6.0,19.0
1956,JPN,4.0,10.0,3.0,17.0
1956,FIN,3.0,1.0,11.0,15.0
1956,FRA,4.0,4.0,6.0,14.0
1956,ROU,5.0,3.0,5.0,13.0
1956,POL,1.0,4.0,4.0,9.0
1956,TUR,3.0,2.0,2.0,7.0
1956,CAN,2.0,1.0,3.0,6.0
1956,TCH,1.0,4.0,1.0,6.0
1956,BUL,1.0,3.0,1.0,5.0
1956,IRI,2.0,2.0,1.0,5.0
1956,IRL,1.0,1.0,3.0,5.0
1956,CHI,0.0,2.0,2.0,4.0
1956,DEN,1.0,2.0,1.0,4.0
1956,RSA,0.0,0.0,4.0,4.0
1956,NOR,1.0,0.0,2.0,3.0
1956,YUG,0.0,3.0,0.0,3.0
1956,ARG,0.0,1.0,1.0,2.0
1956,AUT,0.0,0.0,2.0,2.0
1956,BEL,0.0,2.0,0.0,2.0
1956,KOR,0.0,1.0,1.0,2.0
1956,MEX,1.0,0.0,1.0,2.0
1956,NZL,2.0,0.0,0.0,2.0
1956,BAH,0.0,0.0,1.0,1.0
1956,BRA,1.0,0.0,0.0,1.0
1956,GRE,0.0,0.0,1.0,1.0
1956,IND,1.0,0.0,0.0,1.0
1956,ISL,0.0,1.0,0.0,1.0
1956,PAK,0.0,1.0,0.0,1.0
1956,SUI,0.0,0.0,1.0,1.0
1956,URU,0.0,0.0,1.0,1.0
1960,URS,43.0,29.0,31.0,103.0
1960,USA,34.0,21.0,16.0,71.0
1960,GER,12.0,19.0,11.0,42.0
1960,ITA,13.0,10.0,13.0,36.0
1960,AUS,8.0,8.0,6.0,22.0
1960,HUN,6.0,8.0,7.0,21.0
1960,POL,4.0,6.0,11.0,21.0
1960,GBR,2.0,6.0,12.0,20.0
1960,JPN,4.0,7.0,7.0,18.0
1960,ROU,3.0,1.0,6.0,10.0
1960,TUR,7.0,2.0,0.0,9.0
1960,TCH,3.0,2.0,3.0,8.0
1960,BUL,1.0,3.0,3.0,7.0
1960,DEN,2.0,3.0,1.0,6.0
1960,SUI,0.0,3.0,3.0,6.0
1960,SWE,1.0,2.0,3.0,6.0
1960,FIN,1.0,1.0,3.0,5.0
1960,FRA,0.0,2.0,3.0,5.0
1960,BEL,0.0,2.0,2.0,4.0
1960,IRI,0.0,1.0,3.0,4.0
1960,NED,0.0,1.0,2.0,3.0
1960,NZL,2.0,0.0,1.0,3.0
1960,RSA,0.0,1.0,2.0,3.0
1960,ARG,0.0,1.0,1.0,2.0
1960,AUT,1.0,1.0,0.0,2.0
1960,BRA,0.0,0.0,2.0,2.0
1960,PAK,1.0,0.0,1.0,2.0
1960,UAR,0.0,1.0,1.0,2.0
1960,WIF,0.0,0.0,2.0,2.0
1960,YUG,1.0,1.0,0.0,2.0
1960,CAN,0.0,1.0,0.0,1.0
1960,ESP,0.0,0.0,1.0,1.0
1960,ETH,1.0,0.0,0.0,1.0
1960,GHA,0.0,1.0,0.0,1.0
1960,GRE,1.0,0.0,0.0,1.0
1960,IND,0.0,1.0,0.0,1.0
1960,IRQ,0.0,0.0,1.0,1.0
1960,MAR,0.0,1.0,0.0,1.0
1960,MEX,0.0,0.0,1.0,1.0
1960,NOR,1.0,0.0,0.0,1.0
1960,POR,0.0,1.0,0.0,1.0
1960,SGP,0.0,1.0,0.0,1.0
1960,TPE,0.0,1.0,0.0,1.0
1960,VEN,0.0,0.0,1.0,1.0
1964,URS,30.0,30.0,33.0,93.0
1964,USA,36.0,26.0,28.0,90.0
1964,GER,10.0,22.0,18.0,50.0
1964,JPN,16.0,5.0,8.0,29.0
1964,ITA,10.0,10.0,7.0,27.0
1964,POL,7.0,6.0,10.0,23.0
1964,HUN,10.0,7.0,5.0,22.0
1964,AUS,6.0,2.0,10.0,18.0
1964,GBR,4.0,12.0,2.0,18.0
1964,FRA,1.0,8.0,6.0,15.0
1964,TCH,5.0,6.0,3.0,14.0
1964,ROU,2.0,4.0,6.0,12.0
1964,BUL,3.0,5.0,2.0,10.0
1964,NED,2.0,4.0,4.0,10.0
1964,SWE,2.0,2.0,4.0,8.0
1964,DEN,2.0,1.0,3.0,6.0
1964,TUR,2.0,3.0,1.0,6.0
1964,FIN,3.0,0.0,2.0,5.0
1964,NZL,3.0,0.0,2.0,5.0
1964,YUG,2.0,1.0,2.0,5.0
1964,CAN,1.0,2.0,1.0,4.0
1964,SUI,1.0,2.0,1.0,4.0
1964,BEL,2.0,0.0,1.0,3.0
1964,KOR,0.0,2.0,1.0,3.0
1964,TTO,0.0,1.0,2.0,3.0
1964,IRI,0.0,0.0,2.0,2.0
1964,TUN,0.0,1.0,1.0,2.0
1964,ARG,0.0,1.0,0.0,1.0
1964,BAH,1.0,0.0,0.0,1.0
1964,BRA,0.0,0.0,1.0,1.0
1964,CUB,0.0,1.0,0.0,1.0
1964,ETH,1.0,0.0,0.0,1.0
1964,GHA,0.0,0.0,1.0,1.0
1964,IND,1.0,0.0,0.0,1.0
1964,IRL,0.0,0.0,1.0,1.0
1964,KEN,0.0,0.0,1.0,1.0
1964,MEX,0.0,0.0,1.0,1.0
1964,NGR,0.0,0.0,1.0,1.0
1964,PAK,0.0,1.0,0.0,1.0
1964,PHI,0.0,1.0,0.0,1.0
1964,URU,0.0,0.0,1.0,1.0
1968,USA,45.0,28.0,34.0,107.0
1968,URS,29.0,32.0,30.0,91.0
1968,HUN,10.0,10.0,12.0,32.0
1968,FRG,5.0,11.0,10.0,26.0
1968,GDR,9.0,9.0,7.0,25.0
1968,JPN,11.0,7.0,7.0,25.0
1968,POL,5.0,2.0,11.0,18.0
1968,AUS,5.0,7.0,5.0,17.0
1968,ITA,3.0,4.0,9.0,16.0
1968,FRA,7.0,3.0,5.0,15.0
1968,ROU,4.0,6.0,5.0,15.0
1968,GBR,5.0,5.0,3.0,13.0
1968,TCH,7.0,2.0,4.0,13.0
1968,BUL,2.0,4.0,3.0,9.0
1968,KEN,3.0,4.0,2.0,9.0
1968,MEX,3.0,3.0,3.0,9.0
1968,DEN,1.0,4.0,3.0,8.0
1968,YUG,3.0,3.0,2.0,8.0
1968,NED,3.0,3.0,1.0,7.0
1968,CAN,1.0,3.0,1.0,5.0
1968,IRI,2.0,1.0,2.0,5.0
1968,SUI,0.0,1.0,4.0,5.0
1968,AUT,0.0,2.0,2.0,4.0
1968,CUB,0.0,4.0,0.0,4.0
1968,FIN,1.0,2.0,1.0,4.0
1968,MGL,0.0,1.0,3.0,4.0
1968,SWE,2.0,1.0,1.0,4.0
1968,BRA,0.0,1.0,2.0,3.0
1968,NZL,1.0,0.0,2.0,3.0
1968,ARG,0.0,0.0,2.0,2.0
1968,BEL,0.0,1.0,1.0,2.0
