Year,Country,Gold,Silver,Bronze,Total
1968,ETH,1.0,1.0,0.0,2.0
1968,KOR,0.0,1.0,1.0,2.0
1968,NOR,1.0,1.0,0.0,2.0
1968,TUN,1.0,0.0,1.0,2.0
1968,TUR,2.0,0.0,0.0,2.0
1968,UGA,0.0,1.0,1.0,2.0
1968,CMR,0.0,1.0,0.0,1.0
1968,GRE,0.0,0.0,1.0,1.0
1968,IND,0.0,0.0,1.0,1.0
1968,JAM,0.0,1.0,0.0,1.0
1968,PAK,1.0,0.0,0.0,1.0
1968,TPE,0.0,0.0,1.0,1.0
1968,VEN,1.0,0.0,0.0,1.0
1972,URS,50.0,27.0,22.0,99.0
1972,USA,33.0,31.0,30.0,94.0
1972,GDR,20.0,23.0,23.0,66.0
1972,FRG,13.0,11.0,16.0,40.0
1972,HUN,6.0,13.0,16.0,35.0
1972,JPN,13.0,8.0,8.0,29.0
1972,BUL,6.0,10.0,5.0,21.0
1972,POL,7.0,5.0,9.0,21.0
1972,GBR,4.0,5.0,9.0,18.0
1972,ITA,5.0,3.0,10.0,18.0
1972,AUS,8.0,7.0,2.0,17.0
1972,ROU,3.0,6.0,7.0,16.0
1972,SWE,4.0,6.0,6.0,16.0
1972,FRA,2.0,4.0,7.0,13.0
1972,KEN,2.0,3.0,4.0,9.0
1972,CUB,3.0,1.0,4.0,8.0
1972,FIN,3.0,1.0,4.0,8.0
1972,TCH,2.0,4.0,2.0,8.0
1972,CAN,0.0,2.0,3.0,5.0
1972,NED,3.0,1.0,1.0,5.0
1972,PRK,1.0,1.0,3.0,5.0
1972,YUG,2.0,1.0,2.0,5.0
1972,NOR,2.0,1.0,1.0,4.0
1972,AUT,0.0,1.0,2.0,3.0
1972,COL,0.0,1.0,2.0,3.0
1972,IRI,0.0,2.0,1.0,3.0
1972,NZL,1.0,1.0,1.0,3.0
1972,SUI,0.0,3.0,0.0,3.0
1972,BEL,0.0,2.0,0.0,2.0
1972,BRA,0.0,0.0,2.0,2.0
1972,ETH,0.0,0.0,2.0,2.0
1972,GRE,0.0,2.0,0.0,2.0
1972,UGA,1.0,1.0,0.0,2.0
1972,ARG,0.0,1.0,0.0,1.0
1972,DEN,1.0,0.0,0.0,1.0
1972,ESP,0.0,0.0,1.0,1.0
1972,GHA,0.0,0.0,1.0,1.0
1972,IND,0.0,0.0,1.0,1.0
1972,JAM,0.0,0.0,1.0,1.0
1972,KOR,0.0,1.0,0.0,1.0
1972,LIB,0.0,1.0,0.0,1.0
1972,MEX,0.0,1.0,0.0,1.0
1972,MGL,0.0,1.0,0.0,1.0
1972,NGR,0.0,0.0,1.0,1.0
1972,NIG,0.0,0.0,1.0,1.0
1972,PAK,0.0,1.0,0.0,1.0
1972,TUN,0.0,1.0,0.0,1.0
1972,TUR,0.0,1.0,0.0,1.0
1976,URS,49.0,41.0,35.0,125.0
1976,USA,34.0,35.0,25.0,94.0
1976,GDR,40.0,25.0,25.0,90.0
1976,FRG,10.0,12.0,17.0,39.0
1976,ROU,4.0,9.0,14.0,27.0
1976,POL,7.0,6.0,13.0,26.0
1976,JPN,9.0,6.0,10.0,25.0
1976,BUL,6.0,9.0,7.0,22.0
1976,HUN,4.0,5.0,13.0,22.0
1976,CUB,6.0,4.0,3.0,13.0
1976,GBR,3.0,5.0,5.0,13.0
1976,ITA,2.0,7.0,4.0,13.0
1976,CAN,0.0,5.0,6.0,11.0
1976,FRA,2.0,3.0,4.0,9.0
1976,TCH,2.0,2.0,4.0,8.0
1976,YUG,2.0,3.0,3.0,8.0
1976,BEL,0.0,3.0,3.0,6.0
1976,FIN,4.0,2.0,0.0,6.0
1976,KOR,1.0,1.0,4.0,6.0
1976,AUS,0.0,1.0,4.0,5.0
1976,NED,0.0,2.0,3.0,5.0
1976,SWE,4.0,1.0,0.0,5.0
1976,NZL,2.0,1.0,1.0,4.0
1976,SUI,1.0,1.0,2.0,4.0
1976,DEN,1.0,0.0,2.0,3.0
1976,BRA,0.0,0.0,2.0,2.0
1976,ESP,0.0,2.0,0.0,2.0
1976,IRI,0.0,1.0,1.0,2.0
1976,JAM,1.0,1.0,0.0,2.0
1976,MEX,1.0,0.0,1.0,2.0
1976,NOR,1.0,1.0,0.0,2.0
1976,POR,0.0,2.0,0.0,2.0
1976,PRK,1.0,1.0,0.0,2.0
1976,AUT,0.0,0.0,1.0,1.0
1976,BER,0.0,0.0,1.0,1.0
1976,MGL,0.0,1.0,0.0,1.0
1976,PAK,0.0,0.0,1.0,1.0
1976,PUR,0.0,0.0,1.0,1.0
1976,THA,0.0,0.0,1.0,1.0
1976,TTO,1.0,0.0,0.0,1.0
1976,VEN,0.0,1.0,0.0,1.0
1980,URS,80.0,69.0,46.0,195.0
1980,GDR,47.0,37.0,42.0,126.0
1980,BUL,8.0,16.0,17.0,41.0
1980,HUN,7.0,10.0,15.0,32.0
1980,POL,3.0,14.0,15.0,32.0
1980,ROU,6.0,6.0,13.0,25.0
1980,GBR,5.0,7.0,9.0,21.0
1980,CUB,8.0,7.0,5.0,20.0
1980,ITA,8.0,3.0,4.0,15.0
1980,FRA,6.0,5.0,3.0,14.0
1980,TCH,2.0,3.0,9.0,14.0
1980,SWE,3.0,3.0,6.0,12.0
1980,AUS,2.0,2.0,5.0,9.0
1980,YUG,2.0,3.0,4.0,9.0
1980,FIN,3.0,1.0,4.0,8.0
1980,ESP,1.0,3.0,2.0,6.0
1980,DEN,2.0,1.0,2.0,5.0
1980,PRK,0.0,3.0,2.0,5.0
1980,AUT,1.0,2.0,1.0,4.0
1980,BRA,2.0,0.0,2.0,4.0
1980,ETH,2.0,0.0,2.0,4.0
1980,MEX,0.0,1.0,3.0,4.0
1980,MGL,0.0,2.0,2.0,4.0
1980,GRE,1.0,0.0,2.0,3.0
1980,JAM,0.0,0.0,3.0,3.0
1980,NED,0.0,1.0,2.0,3.0
1980,IRL,0.0,1.0,1.0,2.0
1980,SUI,2.0,0.0,0.0,2.0
1980,TAN,0.0,2.0,0.0,2.0
1980,BEL,1.0,0.0,0.0,1.0
1980,GUY,0.0,0.0,1.0,1.0
1980,IND,1.0,0.0,0.0,1.0
1980,LIB,0.0,0.0,1.0,1.0
1980,UGA,0.0,1.0,0.0,1.0
1980,VEN,0.0,1.0,0.0,1.0
1980,ZIM,1.0,0.0,0.0,1.0
1984,USA,82.0,61.0,30.0,173.0
1984,FRG,17.0,19.0,23.0,59.0
1984,ROU,19.0,16.0,17.0,52.0
1984,CAN,10.0,18.0,16.0,44.0
1984,GBR,5.0,11.0,21.0,37.0
1984,CHN,15.0,8.0,9.0,32.0
1984,ITA,14.0,6.0,12.0,32.0
1984,JPN,10.0,7.0,14.0,31.0
1984,FRA,5.0,7.0,16.0,28.0
1984,AUS,4.0,8.0,12.0,24.0
1984,KOR,6.0,6.0,7.0,19.0
1984,SWE,2.0,11.0,6.0,19.0
1984,YUG,7.0,4.0,7.0,18.0
1984,NED,5.0,2.0,6.0,13.0
1984,FIN,4.0,2.0,6.0,12.0
1984,NZL,8.0,1.0,2.0,11.0
1984,BRA,1.0,5.0,2.0,8.0
1984,SUI,0.0,4.0,4.0,8.0
1984,DEN,0.0,3.0,3.0,6.0
1984,MEX,2.0,3.0,1.0,6.0
1984,ESP,1.0,2.0,2.0,5.0
1984,BEL,1.0,1.0,2.0,4.0
1984,AUT,1.0,1.0,1.0,3.0
1984,JAM,0.0,1.0,2.0,3.0
1984,KEN,1.0,0.0,2.0,3.0
1984,NOR,0.0,1.0,2.0,3.0
1984,POR,1.0,0.0,2.0,3.0
1984,TUR,0.0,0.0,3.0,3.0
1984,VEN,0.0,0.0,3.0,3.0
1984,ALG,0.0,0.0,2.0,2.0
1984,GRE,0.0,1.0,1.0,2.0
1984,MAR,2.0,0.0,0.0,2.0
1984,NGR,0.0,1.0,1.0,2.0
1984,PUR,0.0,1.0,1.0,2.0
1984,CIV,0.0,1.0,0.0,1.0
1984,CMR,0.0,0.0,1.0,1.0
1984,COL,0.0,1.0,0.0,1.0
1984,DOM,0.0,0.0,1.0,1.0
1984,EGY,0.0,1.0,0.0,1.0
1984,IRL,0.0,1.0,0.0,1.0
1984,ISL,0.0,0.0,1.0,1.0
1984,PAK,1.0,0.0,0.0,1.0
1984,PER,0.0,1.0,0.0,1.0
1984,SYR,0.0,1.0,0.0,1.0
1984,THA,0.0,1.0,0.0,1.0
1984,TPE,0.0,0.0,1.0,1.0
1984,ZAM,0.0,0.0,1.0,1.0
1988,URS,54.0,31.0,46.0,131.0
1988,GDR,37.0,35.0,30.0,102.0
1988,USA,36.0,31.0,27.0,94.0
1988,FRG,11.0,14.0,15.0,40.0
1988,BUL,10.0,12.0,13.0,35.0
1988,KOR,12.0,10.0,11.0,33.0
1988,CHN,5.0,11.0,12.0,28.0
1988,GBR,5.0,10.0,9.0,24.0
1988,ROU,7.0,11.0,6.0,24.0
1988,HUN,11.0,6.0,6.0,23.0
1988,FRA,6.0,4.0,6.0,16.0
1988,POL,2.0,5.0,9.0,16.0
1988,AUS,3.0,6.0,5.0,14.0
1988,ITA,6.0,4.0,4.0,14.0
1988,JPN,4.0,3.0,7.0,14.0
1988,NZL,3.0,2.0,8.0,13.0
1988,YUG,3.0,4.0,5.0,12.0
1988,SWE,0.0,4.0,7.0,11.0
1988,CAN,3.0,2.0,5.0,10.0
1988,KEN,5.0,2.0,2.0,9.0
1988,NED,2.0,2.0,5.0,9.0
1988,TCH,3.0,3.0,2.0,8.0
1988,BRA,1.0,2.0,3.0,6.0
1988,NOR,2.0,3.0,0.0,5.0
1988,DEN,2.0,1.0,1.0,4.0
1988,ESP,1.0,1.0,2.0,4.0
1988,FIN,1.0,1.0,2.0,4.0
1988,SUI,0.0,2.0,2.0,4.0
1988,MAR,1.0,0.0,2.0,3.0
1988,ARG,0.0,1.0,1.0,2.0
1988,BEL,0.0,0.0,2.0,2.0
1988,JAM,0.0,2.0,0.0,2.0
1988,MEX,0.0,0.0,2.0,2.0
1988,TUR,1.0,1.0,0.0,2.0
1988,AHO,0.0,1.0,0.0,1.0
1988,AUT,1.0,0.0,0.0,1.0
1988,CHI,0.0,1.0,0.0,1.0
1988,COL,0.0,0.0,1.0,1.0
1988,CRC,0.0,1.0,0.0,1.0
1988,DJI,0.0,0.0,1.0,1.0
1988,GRE,0.0,0.0,1.0,1.0
1988,INA,0.0,1.0,0.0,1.0
1988,IRI,0.0,1.0,0.0,1.0
1988,ISV,0.0,1.0,0.0,1.0
1988,MGL,0.0,0.0,1.0,1.0
1988,PAK,0.0,0.0,1.0,1.0
1988,PER,0.0,1.0,0.0,1.0
1988,PHI,0.0,0.0,1.0,1.0
1988,POR,1.0,0.0,0.0,1.0
1988,SEN,0.0,1.0,0.0,1.0
1988,SUR,1.0,0.0,0.0,1.0
1988,THA,0.0,0.0,1.0,1.0
1992,EUN,45.0,38.0,29.0,112.0
1992,USA,37.0,34.0,37.0,108.0
1992,GER,33.0,21.0,28.0,82.0
1992,CHN,16.0,22.0,15.0,53.0
1992,CUB,14.0,6.0,11.0,31.0
1992,HUN,11.0,12.0,7.0,30.0
1992,FRA,8.0,5.0,16.0,29.0
1992,KOR,12.0,5.0,11.0,28.0
1992,AUS,7.0,9.0,11.0,27.0
1992,ESP,13.0,7.0,2.0,22.0
1992,JPN,3.0,8.0,11.0,22.0
1992,GBR,5.0,3.0,12.0,20.0
1992,ITA,6.0,5.0,8.0,19.0
1992,POL,3.0,6.0,10.0,19.0
1992,CAN,7.0,4.0,7.0,18.0
1992,ROU,4.0,6.0,8.0,18.0
1992,BUL,3.0,7.0,6.0,16.0
1992,NED,2.0,6.0,7.0,15.0
1992,SWE,1.0,7.0,4.0,12.0
1992,NZL,1.0,4.0,5.0,10.0
1992,PRK,4.0,0.0,5.0,9.0
1992,KEN,2.0,4.0,2.0,8.0
1992,NOR,2.0,4.0,1.0,7.0
1992,TCH,4.0,2.0,1.0,7.0
1992,DEN,1.0,1.0,4.0,6.0
1992,TUR,2.0,2.0,2.0,6.0
1992,FIN,1.0,2.0,2.0,5.0
1992,INA,2.0,2.0,1.0,5.0
1992,JAM,0.0,3.0,1.0,4.0
1992,NGR,0.0,3.0,1.0,4.0
1992,BEL,0.0,1.0,2.0,3.0
1992,BRA,2.0,1.0,0.0,3.0
1992,CRO,0.0,1.0,2.0,3.0
1992,ETH,1.0,0.0,2.0,3.0
1992,IOA,0.0,1.0,2.0,3.0
1992,IRI,0.0,1.0,2.0,3.0
1992,LAT,0.0,2.0,1.0,3.0
1992,MAR,1.0,1.0,1.0,3.0
1992,ALG,1.0,0.0,1.0,2.0
1992,AUT,0.0,2.0,0.0,2.0
1992,EST,1.0,0.0,1.0,2.0
1992,GRE,2.0,0.0,0.0,2.0
1992,IRL,1.0,1.0,0.0,2.0
1992,ISR,0.0,1.0,1.0,2.0
1992,LTU,1.0,0.0,1.0,2.0
1992,MGL,0.0,0.0,2.0,2.0
1992,NAM,0.0,2.0,0.0,2.0
1992,RSA,0.0,2.0,0.0,2.0
1992,SLO,0.0,0.0,2.0,2.0
1992,ARG,0.0,0.0,1.0,1.0
1992,BAH,0.0,0.0,1.0,1.0
1992,COL,0.0,0.0,1.0,1.0
1992,GHA,0.0,0.0,1.0,1.0
1992,MAS,0.0,0.0,1.0,1.0
1992,MEX,0.0,1.0,0.0,1.0
1992,PAK,0.0,0.0,1.0,1.0
1992,PER,0.0,1.0,0.0,1.0
1992,PHI,0.0,0.0,1.0,1.0
1992,PUR,0.0,0.0,1.0,1.0
1992,QAT,0.0,0.0,1.0,1.0
1992,SUI,1.0,0.0,0.0,1.0
1992,SUR,0.0,0.0,1.0,1.0
1992,THA,0.0,0.0,1.0,1.0
1992,TPE,0.0,1.0,0.0,1.0
1996,USA,44.0,32.0,25.0,101.0
1996,GER,20.0,18.0,27.0,65.0
1996,RUS,26.0,21.0,16.0,63.0
1996,CHN,16.0,22.0,12.0,50.0
1996,AUS,9.0,9.0,23.0,41.0
1996,FRA,15.0,7.0,15.0,37.0
1996,ITA,13.0,10.0,12.0,35.0
1996,KOR,7.0,15.0,5.0,27.0
1996,CUB,9.0,8.0,8.0,25.0
1996,UKR,9.0,2.0,12.0,23.0
1996,CAN,3.0,11.0,8.0,22.0
1996,HUN,7.0,4.0,10.0,21.0
1996,NED,4.0,5.0,10.0,19.0
1996,ROU,4.0,7.0,8.0,19.0
1996,ESP,5.0,6.0,6.0,17.0
1996,POL,7.0,5.0,5.0,17.0
1996,BLR,1.0,6.0,8.0,15.0
1996,BRA,3.0,3.0,9.0,15.0
1996,BUL,3.0,7.0,5.0,15.0
1996,GBR,1.0,8.0,6.0,15.0
1996,JPN,3.0,6.0,5.0,14.0
1996,CZE,4.0,3.0,4.0,11.0
1996,KAZ,3.0,4.0,4.0,11.0
1996,GRE,4.0,4.0,0.0,8.0
1996,KEN,1.0,4.0,3.0,8.0
1996,SWE,2.0,4.0,2.0,8.0
1996,NOR,2.0,2.0,3.0,7.0
1996,SUI,4.0,3.0,0.0,7.0
1996,BEL,2.0,2.0,2.0,6.0
1996,DEN,4.0,1.0,1.0,6.0
1996,JAM,1.0,3.0,2.0,6.0
1996,NGR,2.0,1.0,3.0,6.0
1996,NZL,3.0,2.0,1.0,6.0
1996,TUR,4.0,1.0,1.0,6.0
1996,PRK,2.0,1.0,2.0,5.0
1996,RSA,3.0,1.0,1.0,5.0
1996,FIN,1.0,2.0,1.0,4.0
1996,INA,1.0,1.0,2.0,4.0
1996,IRL,3.0,0.0,1.0,4.0
1996,SCG,1.0,1.0,2.0,4.0
1996,ALG,2.0,0.0,1.0,3.0
1996,ARG,0.0,2.0,1.0,3.0
1996,AUT,0.0,1.0,2.0,3.0
1996,ETH,2.0,0.0,1.0,3.0
1996,IRI,1.0,1.0,1.0,3.0
1996,SVK,1.0,1.0,1.0,3.0
1996,ARM,1.0,1.0,0.0,2.0
1996,CRO,1.0,1.0,0.0,2.0
1996,GEO,0.0,0.0,2.0,2.0
1996,MAR,0.0,0.0,2.0,2.0
1996,MAS,0.0,1.0,1.0,2.0
1996,MDA,0.0,1.0,1.0,2.0
1996,NAM,0.0,2.0,0.0,2.0
1996,POR,1.0,0.0,1.0,2.0
1996,SLO,0.0,2.0,0.0,2.0
1996,THA,1.0,0.0,1.0,2.0
1996,TTO,0.0,0.0,2.0,2.0
1996,UZB,0.0,1.0,1.0,2.0
1996,AZE,0.0,1.0,0.0,1.0
1996,BAH,0.0,1.0,0.0,1.0
1996,BDI,1.0,0.0,0.0,1.0
1996,CRC,1.0,0.0,0.0,1.0
1996,ECU,1.0,0.0,0.0,1.0
1996,HKG,1.0,0.0,0.0,1.0
1996,IND,0.0,0.0,1.0,1.0
1996,ISR,0.0,0.0,1.0,1.0
1996,LAT,0.0,1.0,0.0,1.0
1996,LTU,0.0,0.0,1.0,1.0
1996,MEX,0.0,0.0,1.0,1.0
1996,MGL,0.0,0.0,1.0,1.0
1996,MOZ,0.0,0.0,1.0,1.0
1996,PHI,0.0,1.0,0.0,1.0
1996,PUR,0.0,0.0,1.0,1.0
1996,SYR,1.0,0.0,0.0,1.0
1996,TGA,0.0,1.0,0.0,1.0
1996,TPE,0.0,1.0,0.0,1.0
1996,TUN,0.0,0.0,1.0,1.0
1996,UGA,0.0,0.0,1.0,1.0
1996,ZAM,0.0,1.0,0.0,1.0
2000,USA,36.0,24.0,31.0,91.0
2000,RUS,32.0,28.0,29.0,89.0
2000,AUS,16.0,25.0,17.0,58.0
2000,CHN,28.0,16.0,14.0,58.0
2000,GER,13.0,17.0,26.0,56.0
2000,FRA,13.0,14.0,11.0,38.0
2000,ITA,13.0,8.0,13.0,34.0
2000,CUB,11.0,11.0,7.0,29.0
2000,GBR,11.0,10.0,7.0,28.0
2000,KOR,8.0,10.0,10.0,28.0
2000,ROU,11.0,6.0,9.0,26.0
2000,NED,12.0,9.0,4.0,25.0
2000,UKR,3.0,10.0,10.0,23.0
2000,JPN,5.0,8.0,5.0,18.0
2000,BLR,3.0,3.0,11.0,17.0
2000,HUN,8.0,6.0,3.0,17.0
2000,CAN,3.0,3.0,8.0,14.0
2000,POL,6.0,5.0,3.0,14.0
2000,BUL,5.0,6.0,2.0,13.0
2000,GRE,4.0,6.0,3.0,13.0
2000,BRA,0.0,6.0,6.0,12.0
2000,SWE,4.0,5.0,3.0,12.0
2000,ESP,3.0,3.0,5.0,11.0
2000,NOR,4.0,3.0,3.0,10.0
2000,JAM,0.0,6.0,3.0,9.0
2000,SUI,1.0,6.0,2.0,9.0
2000,CZE,2.0,3.0,3.0,8.0
2000,ETH,4.0,1.0,3.0,8.0
2000,KAZ,3.0,4.0,0.0,7.0
2000,KEN,2.0,3.0,2.0,7.0
2000,DEN,2.0,3.0,1.0,6.0
2000,GEO,0.0,0.0,6.0,6.0
2000,INA,1.0,3.0,2.0,6.0
2000,MEX,1.0,2.0,3.0,6.0
2000,ALG,1.0,1.0,3.0,5.0
2000,BEL,0.0,2.0,3.0,5.0
2000,LTU,2.0,0.0,3.0,5.0
2000,MAR,0.0,1.0,4.0,5.0
2000,RSA,0.0,2.0,3.0,5.0
2000,SVK,1.0,3.0,1.0,5.0
2000,TPE,0.0,1.0,4.0,5.0
2000,TUR,3.0,0.0,2.0,5.0
2000,ARG,0.0,2.0,2.0,4.0
2000,FIN,2.0,1.0,1.0,4.0
2000,IRI,3.0,0.0,1.0,4.0
2000,NZL,1.0,0.0,3.0,4.0
2000,PRK,0.0,1.0,3.0,4.0
2000,UZB,1.0,1.0,2.0,4.0
2000,AUT,2.0,1.0,0.0,3.0
2000,AZE,2.0,0.0,1.0,3.0
2000,BAH,2.0,0.0,1.0,3.0
2000,EST,1.0,0.0,2.0,3.0
2000,LAT,1.0,1.0,1.0,3.0
2000,NGR,1.0,2.0,0.0,3.0
2000,SCG,1.0,1.0,1.0,3.0
2000,THA,1.0,0.0,2.0,3.0
2000,CRC,0.0,0.0,2.0,2.0
2000,CRO,1.0,0.0,1.0,2.0
2000,KSA,0.0,1.0,1.0,2.0
2000,MDA,0.0,1.0,1.0,2.0
2000,POR,0.0,0.0,2.0,2.0
2000,SLO,2.0,0.0,0.0,2.0
2000,TTO,0.0,1.0,1.0,2.0
2000,ARM,0.0,0.0,1.0,1.0
2000,BAR,0.0,0.0,1.0,1.0
2000,CHI,0.0,0.0,1.0,1.0
2000,CMR,1.0,0.0,0.0,1.0
2000,COL,1.0,0.0,0.0,1.0
2000,IND,0.0,0.0,1.0,1.0
2000,IRL,0.0,1.0,0.0,1.0
2000,ISL,0.0,0.0,1.0,1.0
2000,ISR,0.0,0.0,1.0,1.0
2000,KGZ,0.0,0.0,1.0,1.0
2000,KUW,0.0,0.0,1.0,1.0
2000,MKD,0.0,0.0,1.0,1.0
2000,MOZ,1.0,0.0,0.0,1.0
2000,QAT,0.0,0.0,1.0,1.0
2000,SRI,0.0,1.0,0.0,1.0
2000,URU,0.0,1.0,0.0,1.0
2000,VIE,0.0,1.0,0.0,1.0
2004,USA,36.0,39.0,26.0,101.0
2004,RUS,28.0,26.0,36.0,90.0
2004,CHN,32.0,17.0,14.0,63.0
2004,AUS,17.0,16.0,17.0,50.0
2004,GER,13.0,16.0,20.0,49.0
2004,JPN,16.0,9.0,12.0,37.0
2004,FRA,11.0,9.0,13.0,33.0
2004,ITA,10.0,11.0,11.0,32.0
2004,GBR,9.0,9.0,12.0,30.0
2004,KOR,9.0,12.0,9.0,30.0
2004,CUB,9.0,7.0,11.0,27.0
2004,NED,4.0,9.0,9.0,22.0
2004,UKR,8.0,5.0,9.0,22.0
2004,ESP,3.0,11.0,6.0,20.0
2004,ROU,8.0,5.0,6.0,19.0
2004,HUN,8.0,6.0,3.0,17.0
2004,GRE,6.0,6.0,4.0,16.0
2004,BLR,2.0,5.0,6.0,13.0
2004,BUL,2.0,1.0,9.0,12.0
2004,CAN,3.0,6.0,3.0,12.0
2004,TUR,3.0,3.0,5.0,11.0
2004,BRA,5.0,2.0,3.0,10.0
2004,POL,3.0,2.0,5.0,10.0
2004,CZE,1.0,3.0,5.0,9.0
2004,DEN,2.0,1.0,5.0,8.0
2004,KAZ,1.0,4.0,3.0,8.0
